id_queue;method;uid;code;object;path;storeCode;company;createDate;status;attemps
101;POST;51118662-229b-4f41-a5ac-b6844635c0dc;;OutgoingPaymentDTO;core-engine/outgoing-payment/sync?code=51118662-229b-4f41-a5ac-b6844635c0dc;ST008;AZALEIA;2024-10-07 09:37:33;PENDING;
102;POST;a4aaf3a6-7ca6-4d0c-b04e-5a92cf72a5f5;;OutgoingPaymentDTO;core-engine/outgoing-payment/sync?code=a4aaf3a6-7ca6-4d0c-b04e-5a92cf72a5f5;ST008;AZALEIA;2024-10-07 09:37:33;PENDING;
103;POST;74180784-2a9a-459c-b9a1-e34c902b7c90;;OutgoingPaymentDTO;core-engine/outgoing-payment/sync?code=74180784-2a9a-459c-b9a1-e34c902b7c90;ST008;AZALEIA;2024-10-07 09:37:33;PENDING;
104;POST;c0289119-0d4b-4abe-85c8-3eb399fbe733;;OutgoingPaymentDTO;core-engine/outgoing-payment/sync?code=c0289119-0d4b-4abe-85c8-3eb399fbe733;ST008;AZALEIA;2024-10-07 09:37:33;PENDING;
105;POST;b0c970db-404d-440d-ba63-5340f37d64dd;;OutgoingPaymentDTO;core-engine/outgoing-payment/sync?code=b0c970db-404d-440d-ba63-5340f37d64dd;ST008;AZALEIA;2024-10-07 09:37:33;PENDING;
106;POST;871b4ce2-3bda-4008-9de1-475a029b8edd;;ExternalTransferDTO;core-engine/vault-movement/sync?code=871b4ce2-3bda-4008-9de1-475a029b8edd;ST008;AZALEIA;2024-10-07 09:37:35;PENDING;
107;POST;871b4ce2-3bda-4008-9de1-475a029b8edd;;ExternalTransferCancellationDTO;core-engine/vault-movement/cancellation/sync?code=871b4ce2-3bda-4008-9de1-475a029b8edd;ST008;AZALEIA;2024-10-07 09:37:35;PENDING;
108;POST;3a0a90ec-75d2-4f8e-bd1d-de8a2aadc10d;F001-00000022;PaymentReceipt_POS_DTO;core-engine/payment-receipt/sync?code=3a0a90ec-75d2-4f8e-bd1d-de8a2aadc10d;ST008;AZALEIA;2024-10-07 09:37:36;PENDING;
109;POST;f5da7332-91c0-4d77-b421-c0ae418d38f7;;PaymentDTO;core-engine/payment/sync?code=f5da7332-91c0-4d77-b421-c0ae418d38f7;ST008;AZALEIA;2024-10-07 09:37:37;PENDING;1
110;POST;ef8c1700-62db-4485-9be4-ae0939f06a8a;;CreditNoteDTO;core-engine/creditnote/sync?code=ef8c1700-62db-4485-9be4-ae0939f06a8a;ST008;AZALEIA;2024-10-07 09:37:37;PENDING;1
111;POST;12f00670-10bc-4831-b841-c718d89b51fb;F001-00000023;PaymentReceipt_POS_DTO;core-engine/payment-receipt/sync?code=12f00670-10bc-4831-b841-c718d89b51fb;ST008;AZALEIA;2024-10-07 09:37:39;PENDING;
112;POST;00c4137b-40fb-4e00-86ca-ac261dc50c62;;PaymentDTO;core-engine/payment/sync?code=00c4137b-40fb-4e00-86ca-ac261dc50c62;ST008;AZALEIA;2024-10-07 09:37:39;PENDING;1
113;POST;e7252110-b427-4b66-8354-0cfde069892a;;CreditNoteDTO;core-engine/creditnote/sync?code=e7252110-b427-4b66-8354-0cfde069892a;ST008;AZALEIA;2024-10-07 09:37:39;PENDING;1
114;POST;bb71280f-4c7f-41b7-ac98-34b4269f4317;;OutgoingPaymentDTO;core-engine/outgoing-payment/sync?code=bb71280f-4c7f-41b7-ac98-34b4269f4317;ST008;AZALEIA;2024-10-07 09:37:39;PENDING;1
115;POST;CL76859654;CL76859654;BusinessPartnerDTO;crm-operation/business-partner/sync?code=CL76859654;;AZALEIA;2024-10-07 16:32:21;PENDING;3
116;POST;CL10257182458;CL10257182458;BusinessPartnerDTO;crm-operation/business-partner/sync?code=CL10257182458;;AZALEIA;2024-10-09 10:32:38;PENDING;3
117;POST;CL20612305804;CL20612305804;BusinessPartnerDTO;crm-operation/business-partner/sync?code=CL20612305804;;AZALEIA;2024-10-09 10:47:35;PENDING;
118;POST;097fab20-c4c9-4b13-a3d5-916c66b511fd;;PaymentDTO;core-engine/payment/sync?code=097fab20-c4c9-4b13-a3d5-916c66b511fd;ST008;AZALEIA;2024-10-09 11:33:52;PENDING;
119;POST;d052b1b2-00f6-4692-845e-58a046b05565;;PaymentDTO;core-engine/payment/sync?code=d052b1b2-00f6-4692-845e-58a046b05565;ST008;AZALEIA;2024-10-09 11:39:35;PENDING;
120;POST;bcfa0b7e-056a-4ee5-a836-01dad9672040;;PaymentDTO;core-engine/payment/sync?code=bcfa0b7e-056a-4ee5-a836-01dad9672040;ST008;AZALEIA;2024-10-09 11:40:10;PENDING;
121;POST;b2217e8a-8c84-40f5-bc68-092c50da2a5f;F001-00000024;PaymentReceipt_POS_DTO;core-engine/payment-receipt/sync?code=b2217e8a-8c84-40f5-bc68-092c50da2a5f;ST008;AZALEIA;2024-10-09 11:54:33;PENDING;
122;POST;CL20602664091;CL20602664091;BusinessPartnerDTO;crm-operation/business-partner/sync?code=CL20602664091;;AZALEIA;2024-10-10 10:21:24;PENDING;
